ID,Label,DOB,Age,Citizenship
Kevin James,Kevin James,26/04/1965,56,United States of America
Robert Pattinson,Robert Pattinson,13/05/1986,35,United Kingdom
Vin Diesel,Vin Diesel,18/07/1967,54,United States of America
Johnny Depp,Johnny Depp,9/6/1963,58,United States of America
Seth Rogen,Seth Rogen,15/04/1982,39,Canada
Jennifer Lawrence,Jennifer Lawrence,15/08/1990,31,United States of America
Robert De Niro,Robert De Niro,17/08/1943,78,United States of America
Jennifer Aniston,Jennifer Aniston,11/2/1969,52,United States of America
Rupert Grint,Rupert Grint,24/08/1988,33,United Kingdom
Richard Armitage,Richard Armitage,22/08/1971,50,United Kingdom
Zachary Gordon,Zachary Gordon,15/02/1998,23,United States of America
Liam Hemsworth,Liam Hemsworth,13/01/1990,31,Australia
Emma Watson,Emma Watson,15/04/1990,31,United Kingdom
Josh Hutcherson,Josh Hutcherson,12/10/1992,29,United States of America
Paul Walker,Paul Walker,12/9/1973,48,United States of America
Scarlett Johansson,Scarlett Johansson,22/11/1984,37,United States of America
Robert Downey Jr,Robert Downey Jr,4/4/1965,56,United States of America
Ryan Gosling,Ryan Gosling,12/11/1980,41,Canada
Taylor Lautner,Taylor Lautner,11/2/1992,29,United States of America
Simon Pegg,Simon Pegg,14/02/1970,51,United Kingdom
Zachary Quinto,Zachary Quinto,2/6/1977,44,United States of America
Tom Hardy,Tom Hardy,15/09/1977,44,United Kingdom
Martin Freeman,Martin Freeman,8/9/1971,50,United Kingdom
Theo James,Theo James,16/12/1984,37,United Kingdom
Woody Harrelson,Woody Harrelson,23/07/1961,60,United States of America
Judi Dench,Judi Dench,9/12/1934,87,United Kingdom
Adam Sandler,Adam Sandler,9/9/1966,55,United States of America
Kristen Stewart,Kristen Stewart,9/4/1990,31,United States of America
Helena Bonham Carter,Helena Bonham Carter,26/05/1966,55,United Kingdom
James Franco,James Franco,19/04/1978,43,United States of America
Bradley Cooper,Bradley Cooper,5/1/1975,46,United States of America
Jason Sudeikis,Jason Sudeikis,18/09/1975,46,United States of America
Dwayne Johnson,Dwayne Johnson,2/5/1972,49,United States of America
Robert Capron,Robert Capron,9/7/1998,23,United States of America
Daniel Radcliffe,Daniel Radcliffe,23/07/1989,32,United Kingdom
Chris Evans,Chris Evans,13/06/1981,40,United States of America
Gwyneth Paltrow,Gwyneth Paltrow,28/09/1972,49,United States of America
Ian McKellen,Ian McKellen,25/05/1939,82,United Kingdom
Emma Stone,Emma Stone,6/11/1988,33,United States of America
Nick Frost,Nick Frost,28/03/1972,49,United Kingdom
Chris Pine,Chris Pine,26/08/1980,41,United States of America
Gary Oldman,Gary Oldman,21/03/1958,63,United Kingdom
Shailene Woodley,Shailene Woodley,15/11/1991,30,United States of America
Jesse Eisenberg,Jesse Eisenberg,5/10/1983,38,United States of America
Daniel Craig,Daniel Craig,2/3/1968,53,United Kingdom
